Category,Item Name,Uom,Pack Size
Veggies,Tomato,kg,1 kg
Veggies,Onion,kg,1 kg
Veggies,Potato,kg,1 kg
Veggies,Bhindi,gms,250 gms
Veggies,Gavar,gms,250 gms
Veggies,French Beans,gms,250 gms
Veggies,Cabbage,pcs,1 pc
Veggies,Cauliflower,pcs,1 pc
Veggies,Dudhi,pcs,1 pc
Veggies,Bharta,pcs,1 pc
Veggies,Chilli light green,gms,100 gms
Veggies,Chilli dark green,gms,100 gms
Veggies,Capsicum,gms,250 gms
Veggies,Tendli,gms,250 gms
Veggies,Karela,gms,250 gms
Veggies,Brinjal Small,gms,250 gms
Veggies,Cucumber W,gms,500 gms
Veggies,Cucumber Green,gms,500 gms
Veggies,Carrot Orange,gms,500 gms
Veggies,Beet root,gms,500 gms
Veggies,Arbi,gms,250 gms
Veggies,Drumstick,gms,250 gms
Veggies,Sweet corn cobs,pcs,2 pcs
Veggies,Pumpkin Yellow,pcs,1 pc (250-300 gms)
Veggies,Red Pumpkin,pcs,1pc
Veggies,Sweet Potatoes,gms,500gms
Veggies,Suran,gms,300 gms
Veggies,Baby potato,gms,500 gms
Veggies,Sambhar onion,gms,250 gms
Veggies,CowPeas ( Chawli ),gms,250 gms
Veggies,Pointed Gourd,gms,250 gms
Veggies,Turai,pcs,1-2 pcs (approx. 250 gm)
Veggies,Snake gourd,gms,250 gms
Veggies,Flat Beans,gms,250gms
Veggies,Garlic Peeled,gms,100 gms
Veggies,Garlic UnPeeled,gms,250gms
Veggies,Ginger,gms,100 gms
Veggies,Sweet Corn Shelled,gms,200 gms
Veggies,Coconut,pcs,1 pc
Veggies,Lemon,pcs,6 pcs
Veggies,Brinjal Kateri,gms,250gms
Veggies,Amla,gms,250gms
Veggies,Green Peas,gms,500 gms
Veggies,Carrot Red,kg,1 kg
Veggies,Raw Turmeric,gms,250 gms
Veggies,Green Tomatoes,gms,500 gm
Veggies,Long Capsicum ( Bhavnagari Mirchi),kg,20/kg
Veggies,Raw Mango,gms,500 gms
Veggies,Ash gourd,pcs,1 pc
Veggies,Tinda,gms,500 gms
Veggies,Coriander,gms,200 gms
Veggies,Mint,gms,50 gms
Veggies,Methi,gms,250 gms
Veggies,Palak,gms,250 gms
Veggies,Curry Leaves,gms,50 gms
Veggies,Amaranthus Red,gms,500 gms
Veggies,Amaranthus Green,gms,500 gms
Veggies,Dill Leaves,gms,250 gms
Veggies,Spring onion,gms,300 gms
Veggies,Lemon Grass,gms,1 bunch / 200 gms
Veggies,White Radish,gms,500gms
Veggies,Mustard Leaves(Sarson),bunch,1bunch
Veggies,Bathua,bunch,1bunch
Veggies,Kardai,bunch,1bunch
Veggies,Chuka,bunch,1 bunch
Veggies,Salgam,gms,500 gm
Veggies,Kand,gms,500 gm
Veggies,Double Beans,gms,250 gms
Veggies,Val Ghevda,gms,250 gms
Veggies,Black Rajma,gms,250 gms
Veggies,Knol Khol,gms,500 gms
Fruits,Strawberry,gms,200gms
Fruits,Alphonso Mango (Half Dz),pcs,Pack of 6
Fruits,Alphonso Mango (1 Dz),pcs,Pack of 12
Exotics,Asparagus,gms,100 gms
Exotics,Avocado,pcs,1 pc
Fruits,Apple Ber,gms,500gms
Fruits,Figs,gms,500gms
Exotics,Broccoli,gms,250 gms
Exotics,Iceberg Lettuce,pcs,1 pc
Exotics,Coloured Bell Pepper,pair,1 pair
